league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2016-08-12,Rio Ave,Porto,1,3,A,1,1,D,5.75,3.75,1.6,,4,A,0,3,-2,4,D,0,2
P1,2016-08-13,Moreirense,Pacos Ferreira,1,1,D,0,1,A,2.6,3.0,2.9,,5,D,1,1,0,2,A,-1,1
P1,2016-08-13,Sp Lisbon,Maritimo,2,0,H,1,0,H,1.22,5.75,13.0,,5,H,3,0,2,2,H,1,1
P1,2016-08-13,Tondela,Benfica,0,2,A,0,1,A,10.0,5.0,1.3,,5,A,0,3,-2,2,A,-1,1
P1,2016-08-14,Boavista,Arouca,2,0,H,2,0,H,2.9,3.0,2.6,,6,H,3,0,2,2,H,2,2
P1,2016-08-14,Guimaraes,Sp Braga,0,1,A,0,1,A,3.4,3.2,2.2,,6,A,0,3,-1,1,A,-1,1
P1,2016-08-14,Setubal,Belenenses,2,0,H,1,0,H,2.0,3.0,3.8,,6,H,3,0,2,2,H,1,1
P1,2016-08-15,Estoril,Feirense,0,2,A,0,1,A,2.05,3.1,4.0,,0,A,0,3,-2,2,A,-1,1
P1,2016-08-19,Belenenses,Boavista,0,0,D,0,0,D,2.5,3.0,3.1,,4,D,1,1,0,0,D,0,0
P1,2016-08-20,Chaves,Tondela,1,1,D,1,0,H,2.1,3.1,3.8,,5,D,1,1,0,2,H,1,1
P1,2016-08-20,Maritimo,Guimaraes,0,2,A,0,2,A,2.5,3.1,2.9,,5,A,0,3,-2,2,A,-2,2
P1,2016-08-20,Pacos Ferreira,Sp Lisbon,0,1,A,0,1,A,9.0,4.2,1.4,,5,A,0,3,-1,1,A,-1,1
P1,2016-08-20,Porto,Estoril,1,0,H,0,0,D,1.29,5.5,9.5,,5,H,3,0,1,1,D,0,0
P1,2016-08-21,Arouca,Nacional,2,0,H,2,0,H,2.05,3.2,3.8,,6,H,3,0,2,2,H,2,2
P1,2016-08-21,Benfica,Setubal,1,1,D,0,0,D,1.17,7.0,15.0,,6,D,1,1,0,2,D,0,0
P1,2016-08-21,Feirense,Moreirense,0,3,A,0,1,A,2.3,3.0,3.4,,6,A,0,3,-3,3,A,-1,1
P1,2016-08-22,Sp Braga,Rio Ave,1,1,D,0,1,A,1.57,3.8,6.0,,0,D,1,1,0,2,A,-1,1
P1,2016-08-26,Guimaraes,Pacos Ferreira,5,3,H,2,1,H,2.0,3.1,4.2,,4,H,3,0,2,8,H,1,3
P1,2016-08-27,Estoril,Sp Braga,1,3,A,0,2,A,3.75,3.25,2.05,,5,A,0,3,-2,4,A,-2,2
P1,2016-08-27,Nacional,Benfica,1,3,A,0,1,A,8.0,4.5,1.4,,5,A,0,3,-2,4,A,-1,1
P1,2016-08-27,Tondela,Belenenses,0,1,A,0,0,D,2.45,3.25,2.88,,5,A,0,3,-1,1,D,0,0
P1,2016-08-28,Boavista,Chaves,2,2,D,1,0,H,2.3,3.0,3.4,,6,D,1,1,0,4,H,1,1
P1,2016-08-28,Moreirense,Maritimo,0,1,A,0,1,A,2.38,3.2,3.0,,6,A,0,3,-1,1,A,-1,1
P1,2016-08-28,Rio Ave,Feirense,1,0,H,0,0,D,1.91,3.25,4.33,,6,H,3,0,1,1,D,0,0
P1,2016-08-28,Setubal,Arouca,2,0,H,1,0,H,2.3,3.1,3.3,,6,H,3,0,2,2,H,1,1
P1,2016-08-28,Sp Lisbon,Porto,2,1,H,2,1,H,2.1,3.2,3.6,,6,H,3,0,1,3,H,1,3
P1,2016-09-04,Nacional,Chaves,0,1,A,0,1,A,2.5,3.0,3.0,,6,A,0,3,-1,1,A,-1,1
P1,2016-09-09,Arouca,Benfica,1,2,A,0,1,A,7.5,4.2,1.45,,4,A,0,3,-1,3,A,-1,1
P1,2016-09-10,Belenenses,Nacional,2,1,H,0,1,A,2.1,3.1,3.75,,5,H,3,0,1,3,A,-1,1
P1,2016-09-10,Porto,Guimaraes,3,0,H,1,0,H,1.36,5.0,7.5,,5,H,3,0,3,3,H,1,1
P1,2016-09-10,Sp Lisbon,Moreirense,3,0,H,1,0,H,1.29,5.0,12.0,,5,H,3,0,3,3,H,1,1
P1,2016-09-11,Chaves,Setubal,0,0,D,0,0,D,2.5,3.0,3.0,,6,D,1,1,0,0,D,0,0
P1,2016-09-11,Maritimo,Rio Ave,0,1,A,0,1,A,2.5,3.0,3.0,,6,A,0,3,-1,1,A,-1,1
P1,2016-09-11,Pacos Ferreira,Estoril,0,0,D,0,0,D,2.0,3.2,4.0,,6,D,1,1,0,0,D,0,0
P1,2016-09-11,Sp Braga,Boavista,3,0,H,1,0,H,1.44,4.0,8.0,,6,H,3,0,3,3,H,1,1
P1,2016-09-12,Feirense,Tondela,2,1,H,1,0,H,2.38,3.1,3.1,,0,H,3,0,1,3,H,1,1
P1,2016-09-16,Nacional,Maritimo,2,0,H,1,0,H,2.55,3.2,2.8,,4,H,3,0,2,2,H,1,1
P1,2016-09-17,Estoril,Moreirense,2,0,H,1,0,H,2.38,3.0,3.25,,5,H,3,0,2,2,H,1,1
P1,2016-09-17,Guimaraes,Belenenses,1,1,D,1,0,H,1.91,3.25,4.33,,5,D,1,1,0,2,H,1,1
P1,2016-09-17,Setubal,Pacos Ferreira,1,4,A,1,3,A,2.4,3.1,3.1,,5,A,0,3,-3,5,A,-2,4
P1,2016-09-18,Arouca,Chaves,0,1,A,0,1,A,2.2,3.0,3.6,,6,A,0,3,-1,1,A,-1,1
P1,2016-09-18,Boavista,Feirense,1,2,A,0,1,A,2.2,3.1,3.5,,6,A,0,3,-1,3,A,-1,1
P1,2016-09-18,Rio Ave,Sp Lisbon,3,1,H,3,0,H,5.5,4.0,1.57,,6,H,3,0,2,4,H,3,3
P1,2016-09-18,Tondela,Porto,0,0,D,0,0,D,8.5,4.75,1.36,,6,D,1,1,0,0,D,0,0
P1,2016-09-19,Benfica,Sp Braga,3,1,H,1,0,H,1.55,4.0,6.0,,0,H,3,0,2,4,H,1,1
P1,2016-09-23,Porto,Boavista,3,1,H,2,1,H,1.18,6.5,15.0,,4,H,3,0,2,4,H,1,3
P1,2016-09-23,Sp Lisbon,Estoril,4,2,H,1,0,H,1.17,6.5,19.0,,4,H,3,0,2,6,H,1,1
P1,2016-09-24,Chaves,Benfica,0,2,A,0,0,D,9.0,4.0,1.44,,5,A,0,3,-2,2,D,0,0
P1,2016-09-24,Feirense,Nacional,0,3,A,0,1,A,2.5,3.1,2.9,,5,A,0,3,-3,3,A,-1,1
P1,2016-09-24,Sp Braga,Setubal,2,1,H,0,1,A,1.5,4.2,6.5,,5,H,3,0,1,3,A,-1,1
P1,2016-09-25,Maritimo,Tondela,2,0,H,2,0,H,2.05,3.25,3.75,,6,H,3,0,2,2,H,2,2
P1,2016-09-25,Moreirense,Guimaraes,0,1,A,0,0,D,2.88,3.1,2.55,,6,A,0,3,-1,1,D,0,0
P1,2016-09-25,Pacos Ferreira,Rio Ave,2,1,H,2,0,H,2.88,3.1,2.55,,6,H,3,0,1,3,H,2,2
P1,2016-09-26,Belenenses,Arouca,1,1,D,1,0,H,2.25,3.1,3.4,,0,D,1,1,0,2,H,1,1
P1,2016-09-30,Tondela,Pacos Ferreira,2,1,H,1,0,H,2.5,3.0,3.0,,4,H,3,0,1,3,H,1,1
P1,2016-10-01,Chaves,Belenenses,3,1,H,0,1,A,2.2,3.1,3.5,,5,H,3,0,2,4,A,-1,1
P1,2016-10-01,Guimaraes,Sp Lisbon,3,3,D,0,2,A,5.25,3.6,1.67,,5,D,1,1,0,6,A,-2,2
P1,2016-10-01,Nacional,Porto,0,4,A,0,3,A,8.5,4.75,1.36,,5,A,0,3,-4,4,A,-3,3
P1,2016-10-01,Rio Ave,Estoril,1,2,A,1,2,A,1.85,3.4,4.33,,5,A,0,3,-1,3,A,-1,3
P1,2016-10-02,Arouca,Sp Braga,1,1,D,0,0,D,3.5,3.3,2.1,,6,D,1,1,0,2,D,0,0
P1,2016-10-02,Benfica,Feirense,4,0,H,1,0,H,1.14,7.5,19.0,,6,H,3,0,4,4,H,1,1
P1,2016-10-02,Boavista,Moreirense,2,0,H,1,0,H,2.4,3.1,3.1,,6,H,3,0,2,2,H,1,1
P1,2016-10-02,Setubal,Maritimo,0,1,A,0,0,D,2.1,3.2,3.6,,6,A,0,3,-1,1,D,0,0
P1,2016-10-21,Maritimo,Boavista,1,1,D,1,0,H,2.0,3.2,4.0,,4,D,1,1,0,2,H,1,1
P1,2016-10-21,Pacos Ferreira,Nacional,1,1,D,0,1,A,2.15,3.25,3.4,,4,D,1,1,0,2,A,-1,1
P1,2016-10-22,Feirense,Setubal,1,1,D,0,0,D,2.45,3.2,2.9,,5,D,1,1,0,2,D,0,0
P1,2016-10-22,Porto,Arouca,3,0,H,1,0,H,1.18,6.5,15.0,,5,H,3,0,3,3,H,1,1
P1,2016-10-22,Sp Lisbon,Tondela,1,1,D,0,0,D,1.18,6.5,15.0,,5,D,1,1,0,2,D,0,0
P1,2016-10-23,Belenenses,Benfica,0,2,A,0,1,A,7.5,4.2,1.44,,6,A,0,3,-2,2,A,-1,1
P1,2016-10-23,Estoril,Guimaraes,0,2,A,0,1,A,3.1,3.2,2.35,,6,A,0,3,-2,2,A,-1,1
P1,2016-10-23,Moreirense,Rio Ave,1,1,D,0,0,D,3.0,3.2,2.4,,6,D,1,1,0,2,D,0,0
P1,2016-10-24,Sp Braga,Chaves,1,0,H,0,0,D,1.62,3.8,5.5,,0,H,3,0,1,1,D,0,0
P1,2016-10-28,Benfica,Pacos Ferreira,3,0,H,1,0,H,1.2,6.0,15.0,,4,H,3,0,3,3,H,1,1
P1,2016-10-28,Nacional,Sp Lisbon,0,0,D,0,0,D,7.5,4.5,1.4,,4,D,1,1,0,0,D,0,0
P1,2016-10-29,Boavista,Estoril,0,0,D,0,0,D,2.15,3.1,3.6,,5,D,1,1,0,0,D,0,0
P1,2016-10-29,Setubal,Porto,0,0,D,0,0,D,9.0,5.75,1.29,,5,D,1,1,0,0,D,0,0
P1,2016-10-29,Tondela,Moreirense,1,2,A,1,1,D,2.3,3.1,3.2,,5,A,0,3,-1,3,D,0,2
P1,2016-10-30,Arouca,Maritimo,1,0,H,0,0,D,2.45,3.1,3.0,,6,H,3,0,1,1,D,0,0
P1,2016-10-30,Rio Ave,Guimaraes,0,3,A,0,1,A,2.6,3.25,2.7,,6,A,0,3,-3,3,A,-1,1
P1,2016-10-30,Sp Braga,Belenenses,2,1,H,1,0,H,1.53,3.8,6.5,,6,H,3,0,1,3,H,1,1
P1,2016-10-31,Chaves,Feirense,1,1,D,0,1,A,1.91,3.25,4.33,,0,D,1,1,0,2,A,-1,1
P1,2016-11-04,Guimaraes,Nacional,2,1,H,0,0,D,1.57,3.8,6.0,,4,H,3,0,1,3,D,0,0
P1,2016-11-05,Estoril,Tondela,2,0,H,0,0,D,2.2,3.2,3.4,,5,H,3,0,2,2,D,0,0
P1,2016-11-05,Feirense,Belenenses,0,1,A,0,1,A,2.63,3.1,2.75,,5,A,0,3,-1,1,A,-1,1
P1,2016-11-05,Pacos Ferreira,Chaves,1,1,D,0,0,D,2.38,3.1,3.1,,5,D,1,1,0,2,D,0,0
P1,2016-11-05,Rio Ave,Boavista,1,2,A,1,1,D,1.85,3.3,4.5,,5,A,0,3,-1,3,D,0,2
P1,2016-11-06,Maritimo,Sp Braga,1,0,H,1,0,H,3.4,3.2,2.2,,6,H,3,0,1,1,H,1,1
P1,2016-11-06,Moreirense,Setubal,1,2,A,0,0,D,2.2,3.1,3.5,,6,A,0,3,-1,3,D,0,0
P1,2016-11-06,Porto,Benfica,1,1,D,0,0,D,2.1,3.4,3.4,,6,D,1,1,0,2,D,0,0
P1,2016-11-06,Sp Lisbon,Arouca,3,0,H,1,0,H,1.2,6.5,13.0,,6,H,3,0,3,3,H,1,1
P1,2016-11-25,Setubal,Rio Ave,0,1,A,0,1,A,2.88,3.1,2.5,,4,A,0,3,-1,1,A,-1,1
P1,2016-11-26,Belenenses,Porto,0,0,D,0,0,D,10.0,5.25,1.29,,5,D,1,1,0,0,D,0,0
P1,2016-11-26,Boavista,Sp Lisbon,0,1,A,0,1,A,9.0,5.0,1.33,,5,A,0,3,-1,1,A,-1,1
P1,2016-11-26,Chaves,Maritimo,0,0,D,0,0,D,2.25,3.0,3.5,,5,D,1,1,0,0,D,0,0
P1,2016-11-26,Nacional,Estoril,0,1,A,0,1,A,2.25,3.2,3.3,,5,A,0,3,-1,1,A,-1,1
P1,2016-11-27,Arouca,Pacos Ferreira,1,0,H,1,0,H,2.25,3.1,3.4,,6,H,3,0,1,1,H,1,1
P1,2016-11-27,Benfica,Moreirense,3,0,H,1,0,H,1.17,7.0,15.0,,6,H,3,0,3,3,H,1,1
P1,2016-11-27,Tondela,Guimaraes,2,1,H,0,0,D,3.4,3.25,2.15,,6,H,3,0,1,3,D,0,0
P1,2016-11-28,Sp Braga,Feirense,6,2,H,3,1,H,1.5,4.0,7.0,,0,H,3,0,4,8,H,2,4
P1,2016-12-02,Maritimo,Benfica,2,1,H,1,1,D,9.5,4.5,1.36,,4,H,3,0,1,3,D,0,2
P1,2016-12-03,Porto,Sp Braga,1,0,H,0,0,D,1.36,4.75,8.0,,5,H,3,0,1,1,D,0,0
P1,2016-12-03,Rio Ave,Tondela,3,1,H,1,0,H,1.75,3.4,5.0,,5,H,3,0,2,4,H,1,1
P1,2016-12-03,Sp Lisbon,Setubal,2,0,H,2,0,H,1.2,6.0,15.0,,5,H,3,0,2,2,H,2,2
P1,2016-12-04,Estoril,Belenenses,1,1,D,0,0,D,2.38,3.1,3.1,,6,D,1,1,0,2,D,0,0
P1,2016-12-04,Feirense,Arouca,0,2,A,0,0,D,2.45,3.0,3.1,,6,A,0,3,-2,2,D,0,0
P1,2016-12-04,Guimaraes,Chaves,1,1,D,1,0,H,1.85,3.3,4.5,,6,D,1,1,0,2,H,1,1
P1,2016-12-04,Moreirense,Nacional,3,1,H,1,0,H,2.25,3.1,3.4,,6,H,3,0,2,4,H,1,1
P1,2016-12-05,Pacos Ferreira,Boavista,2,1,H,2,0,H,2.2,3.0,3.6,,0,H,3,0,1,3,H,2,2
P1,2016-12-09,Setubal,Estoril,2,0,H,1,0,H,2.0,3.3,3.8,,4,H,3,0,2,2,H,1,1
P1,2016-12-10,Belenenses,Maritimo,1,0,H,1,0,H,2.38,3.0,3.25,,5,H,3,0,1,1,H,1,1
P1,2016-12-10,Boavista,Guimaraes,1,2,A,1,1,D,3.4,3.0,2.3,,5,A,0,3,-1,3,D,0,2
P1,2016-12-10,Chaves,Moreirense,2,1,H,1,1,D,2.1,3.1,3.8,,5,H,3,0,1,3,D,0,2
P1,2016-12-11,Benfica,Sp Lisbon,2,1,H,1,0,H,2.2,3.1,3.5,,6,H,3,0,1,3,H,1,1
P1,2016-12-11,Feirense,Porto,0,4,A,0,2,A,10.0,5.25,1.29,,6,A,0,3,-4,4,A,-2,2
P1,2016-12-11,Nacional,Tondela,3,2,H,0,2,A,2.05,3.2,3.8,,6,H,3,0,1,5,A,-2,2
P1,2016-12-11,Sp Braga,Pacos Ferreira,3,0,H,2,0,H,1.6,3.5,6.5,,6,H,3,0,3,3,H,2,2
P1,2016-12-12,Arouca,Rio Ave,0,2,A,0,0,D,2.6,3.0,2.88,,0,A,0,3,-2,2,D,0,0
P1,2016-12-15,Porto,Maritimo,2,1,H,1,0,H,1.2,6.0,15.0,,3,H,3,0,1,3,H,1,1
P1,2016-12-16,Pacos Ferreira,Belenenses,1,0,H,0,0,D,2.45,3.1,3.0,,4,H,3,0,1,1,D,0,0
P1,2016-12-17,Estoril,Benfica,0,1,A,0,0,D,13.0,5.75,1.22,,5,A,0,3,-1,1,D,0,0
P1,2016-12-17,Moreirense,Arouca,1,4,A,0,2,A,2.15,3.1,3.6,,5,A,0,3,-3,5,A,-2,2
P1,2016-12-18,Guimaraes,Setubal,3,1,H,1,0,H,1.67,3.6,5.5,,6,H,3,0,2,4,H,1,1
P1,2016-12-18,Rio Ave,Nacional,2,1,H,0,0,D,1.85,3.3,4.5,,6,H,3,0,1,3,D,0,0
P1,2016-12-18,Sp Lisbon,Sp Braga,0,1,A,0,0,D,1.44,4.0,8.0,,6,A,0,3,-1,1,D,0,0
P1,2016-12-18,Tondela,Boavista,1,1,D,1,0,H,2.4,3.0,3.2,,6,D,1,1,0,2,H,1,1
