league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2020-09-18,19:00,Famalicao,Benfica,1,5,A,0,3,A,6,13,2,7,3,4,14,10,1,2,0,0,19,4,A,0,3,-4,6,A,-3,3,10,20
P1,2020-09-18,21:15,Guimaraes,Belenenses,0,1,A,0,0,D,11,4,2,3,7,2,14,20,1,4,0,0,21,4,A,0,3,-1,1,D,0,0,10,40
P1,2020-09-19,16:00,Nacional,Boavista,3,3,D,2,2,D,14,8,7,3,6,4,24,21,4,3,0,0,16,5,D,1,1,0,6,D,0,4,40,30
P1,2020-09-19,21:00,Porto,Sp Braga,3,1,H,2,1,H,11,7,4,1,5,1,17,18,0,0,0,0,21,5,H,3,0,2,4,H,1,3,0,0
P1,2020-09-20,16:00,Santa Clara,Maritimo,2,0,H,0,0,D,12,12,5,2,5,6,15,17,2,1,0,0,16,6,H,3,0,2,2,D,0,0,20,10
P1,2020-09-20,18:30,Moreirense,Farense,2,0,H,1,0,H,13,10,5,2,4,6,17,13,2,4,0,1,18,6,H,3,0,2,2,H,1,1,20,65
P1,2020-09-20,21:00,Tondela,Rio Ave,1,1,D,1,0,H,7,14,2,4,1,6,15,11,1,0,0,0,21,6,D,1,1,0,2,H,1,1,10,0
P1,2020-09-21,19:45,Portimonense,Pacos Ferreira,1,1,D,0,1,A,12,16,3,5,4,9,23,16,1,1,0,0,19,0,D,1,1,0,2,A,-1,1,10,10
P1,2020-09-25,20:30,Sp Braga,Santa Clara,0,1,A,0,1,A,22,6,4,1,8,0,13,17,2,4,0,0,20,4,A,0,3,-1,1,A,-1,1,20,40
P1,2020-09-26,15:30,Maritimo,Tondela,2,1,H,2,1,H,8,21,6,6,0,8,19,16,4,2,1,0,15,5,H,3,0,1,3,H,1,3,65,20
P1,2020-09-26,18:30,Benfica,Moreirense,2,0,H,1,0,H,29,5,10,1,10,1,11,15,2,0,0,0,18,5,H,3,0,2,2,H,1,1,20,0
P1,2020-09-26,21:00,Boavista,Porto,0,5,A,0,0,D,11,15,4,6,3,2,19,19,1,0,0,0,21,5,A,0,3,-5,5,D,0,0,10,0
P1,2020-09-27,15:30,Farense,Nacional,0,1,A,0,0,D,18,9,4,4,11,5,11,15,1,4,0,0,15,6,A,0,3,-1,1,D,0,0,10,40
P1,2020-09-27,16:00,Gil Vicente,Portimonense,1,0,H,0,0,D,9,13,3,2,10,7,14,12,2,3,0,0,16,6,H,3,0,1,1,D,0,0,20,30
P1,2020-09-27,18:30,Pacos Ferreira,Sp Lisbon,0,2,A,0,1,A,9,11,0,5,4,8,18,12,0,0,0,0,18,6,A,0,3,-2,2,A,-1,1,0,0
P1,2020-09-27,21:00,Rio Ave,Guimaraes,0,0,D,0,0,D,7,10,3,3,4,4,13,16,2,3,0,0,21,6,D,1,1,0,0,D,0,0,20,30
P1,2020-09-28,19:45,Belenenses,Famalicao,1,2,A,1,0,H,10,6,5,2,5,2,17,24,3,5,0,0,19,0,A,0,3,-1,3,H,1,1,30,50
P1,2020-10-02,19:00,Moreirense,Boavista,1,1,D,0,1,A,14,16,6,5,5,3,10,19,1,1,0,0,19,4,D,1,1,0,2,A,-1,1,10,10
P1,2020-10-02,21:15,Guimaraes,Pacos Ferreira,1,0,H,0,0,D,8,16,1,7,2,7,11,28,4,2,0,0,21,4,H,3,0,1,1,D,0,0,40,20
P1,2020-10-03,16:00,Santa Clara,Gil Vicente,0,0,D,0,0,D,12,8,3,1,8,3,14,18,1,3,0,0,16,5,D,1,1,0,0,D,0,0,10,30
P1,2020-10-03,18:30,Porto,Maritimo,2,3,A,1,1,D,32,11,10,4,9,0,19,16,2,4,0,0,18,5,A,0,3,-1,5,D,0,2,20,40
P1,2020-10-03,21:00,Tondela,Sp Braga,0,4,A,0,4,A,13,18,4,8,5,8,13,15,1,0,0,0,21,5,A,0,3,-4,4,A,-4,4,10,0
P1,2020-10-04,15:30,Nacional,Belenenses,0,0,D,0,0,D,18,7,4,2,7,2,9,15,1,2,0,0,15,6,D,1,1,0,0,D,0,0,10,20
P1,2020-10-04,18:30,Benfica,Farense,3,2,H,1,0,H,12,14,7,9,3,2,12,12,3,3,0,0,18,6,H,3,0,1,5,H,1,1,30,30
P1,2020-10-04,18:30,Famalicao,Rio Ave,1,1,D,1,0,H,13,13,5,4,3,5,11,9,2,0,0,0,18,6,D,1,1,0,2,H,1,1,20,0
P1,2020-10-04,21:00,Portimonense,Sp Lisbon,0,2,A,0,2,A,14,10,6,4,7,2,17,20,1,1,0,0,21,6,A,0,3,-2,2,A,-2,2,10,10
P1,2020-10-17,15:30,Gil Vicente,Tondela,1,1,D,1,0,H,13,2,4,1,5,1,17,18,2,3,0,1,15,5,D,1,1,0,2,H,1,1,20,55
P1,2020-10-17,15:30,Maritimo,Portimonense,1,2,A,0,0,D,10,10,4,3,10,6,23,20,4,2,0,0,15,5,A,0,3,-1,3,D,0,0,40,20
P1,2020-10-17,18:00,Sp Braga,Nacional,2,1,H,2,0,H,20,5,7,2,4,2,11,15,1,4,0,0,18,5,H,3,0,1,3,H,2,2,10,40
P1,2020-10-17,20:30,Sp Lisbon,Porto,2,2,D,1,2,A,13,10,5,5,4,1,18,20,5,4,1,0,20,5,D,1,1,0,4,A,-1,3,75,40
P1,2020-10-18,15:00,Belenenses,Moreirense,0,0,D,0,0,D,15,8,5,4,7,3,22,14,2,2,0,0,15,6,D,1,1,0,0,D,0,0,20,20
P1,2020-10-18,15:00,Pacos Ferreira,Santa Clara,2,1,H,1,0,H,12,15,3,5,7,2,15,16,2,2,0,0,15,6,H,3,0,1,3,H,1,1,20,20
P1,2020-10-18,17:30,Farense,Famalicao,3,3,D,2,0,H,13,13,5,5,6,9,19,14,2,2,0,1,17,6,D,1,1,0,6,H,2,2,20,45
P1,2020-10-18,20:00,Rio Ave,Benfica,0,3,A,0,2,A,4,13,2,6,4,4,14,17,1,3,0,0,20,6,A,0,3,-3,3,A,-2,2,10,30
P1,2020-10-19,20:15,Boavista,Guimaraes,0,1,A,0,1,A,19,9,2,1,9,4,21,22,4,2,0,0,20,0,A,0,3,-1,1,A,-1,1,40,20
P1,2020-10-23,20:30,Tondela,Portimonense,1,0,H,1,0,H,8,10,3,4,5,6,10,18,2,2,0,0,20,4,H,3,0,1,1,H,1,1,20,20
P1,2020-10-24,15:30,Nacional,Pacos Ferreira,1,1,D,0,0,D,7,18,2,6,3,6,23,9,3,1,1,0,15,5,D,1,1,0,2,D,0,0,55,10
