league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2022-08-05,20:15,Benfica,Arouca,4,0,H,3,0,H,20,3,6,2,6,1,7,6,3,1,0,1,1.14,6.5,17.0,20,4,H,3,0,4,4,H,3,3,30,35
P1,2022-08-06,15:30,Rio Ave,Vizela,0,1,A,0,0,D,7,12,0,7,6,7,19,16,7,4,0,0,2.2,3.2,3.1,15,5,A,0,3,-1,1,D,0,0,70,40
P1,2022-08-06,18:00,Estoril,Famalicao,2,0,H,2,0,H,10,15,5,5,1,2,13,11,4,1,0,0,2.5,3.0,2.8,18,5,H,3,0,2,2,H,2,2,40,10
P1,2022-08-06,20:30,Porto,Maritimo,5,1,H,3,0,H,22,9,7,3,4,4,13,11,3,2,0,0,1.16,7.0,10.0,20,5,H,3,0,4,6,H,3,3,30,20
P1,2022-08-07,15:30,Santa Clara,Casa Pia,0,0,D,0,0,D,7,11,3,3,7,6,15,12,1,3,1,0,1.95,3.0,4.0,15,6,D,1,1,0,0,D,0,0,35,30
P1,2022-08-07,18:00,Sp Braga,Sp Lisbon,3,3,D,2,2,D,15,11,7,4,3,3,14,17,2,2,0,0,3.75,3.25,1.9,18,6,D,1,1,0,6,D,0,4,20,20
P1,2022-08-07,20:30,Chaves,Guimaraes,0,1,A,0,1,A,14,15,2,6,2,5,10,20,2,9,0,2,2.7,3.2,2.5,20,6,A,0,3,-1,1,A,-1,1,20,140
P1,2022-08-07,20:30,Portimonense,Boavista,0,1,A,0,1,A,18,10,8,5,7,1,13,11,3,1,0,0,2.0,3.3,3.5,20,6,A,0,3,-1,1,A,-1,1,30,10
P1,2022-08-08,20:15,Gil Vicente,Pacos Ferreira,1,0,H,0,0,D,16,12,7,5,8,6,17,19,1,6,0,0,1.72,3.4,4.5,20,0,H,3,0,1,1,D,0,0,10,60
P1,2022-08-12,20:15,Famalicao,Sp Braga,0,3,A,0,2,A,11,24,5,9,7,7,11,14,3,1,0,0,3.6,3.4,2.0,20,4,A,0,3,-3,3,A,-2,2,30,10
P1,2022-08-13,18:00,Casa Pia,Benfica,0,1,A,0,0,D,8,14,2,4,4,9,10,9,6,4,0,1,12.0,5.5,1.25,18,5,A,0,3,-1,1,D,0,0,60,65
P1,2022-08-13,20:30,Sp Lisbon,Rio Ave,3,0,H,1,0,H,20,3,6,1,7,1,15,6,1,2,0,0,1.22,6.0,11.0,20,5,H,3,0,3,3,H,1,1,10,20
P1,2022-08-14,15:30,Boavista,Santa Clara,2,1,H,0,1,A,16,3,5,1,8,6,13,8,3,7,0,2,2.45,3.1,2.9,15,6,H,3,0,1,3,A,-1,1,30,120
P1,2022-08-14,18:00,Vizela,Porto,0,1,A,0,0,D,4,13,1,4,1,10,18,13,6,2,0,0,10.0,5.25,1.28,18,6,A,0,3,-1,1,D,0,0,60,20
P1,2022-08-14,20:30,Guimaraes,Estoril,1,0,H,1,0,H,8,7,3,4,5,7,13,8,3,5,0,1,1.95,3.4,3.8,20,6,H,3,0,1,1,H,1,1,30,75
P1,2022-08-15,15:30,Maritimo,Chaves,1,2,A,1,0,H,13,21,6,8,3,6,12,11,1,1,0,0,2.25,3.3,3.2,15,0,A,0,3,-1,3,H,1,1,10,10
P1,2022-08-15,18:00,Arouca,Gil Vicente,1,0,H,1,0,H,8,10,4,2,4,4,22,18,4,2,0,0,2.62,3.4,2.6,18,0,H,3,0,1,1,H,1,1,40,20
P1,2022-08-15,20:30,Pacos Ferreira,Portimonense,0,3,A,0,1,A,14,13,4,3,2,7,12,16,3,5,1,0,2.25,3.25,3.2,20,0,A,0,3,-3,3,A,-1,1,55,50
P1,2022-08-19,20:15,Estoril,Rio Ave,2,2,D,1,0,H,9,17,4,7,1,5,22,13,4,3,0,1,2.1,3.25,3.75,20,4,D,1,1,0,4,H,1,1,40,55
P1,2022-08-20,15:30,Santa Clara,Arouca,1,2,A,0,0,D,12,10,3,4,4,2,19,21,2,3,0,0,2.05,3.25,3.75,15,5,A,0,3,-1,3,D,0,0,20,30
P1,2022-08-20,18:00,Chaves,Vizela,1,1,D,1,1,D,18,17,3,4,5,4,8,19,5,5,1,1,2.25,3.3,3.25,18,5,D,1,1,0,2,D,0,2,75,75
P1,2022-08-20,20:30,Porto,Sp Lisbon,3,0,H,1,0,H,11,8,5,4,3,4,23,11,1,4,0,1,2.1,3.3,3.5,20,5,H,3,0,3,3,H,1,1,10,65
P1,2022-08-21,15:30,Casa Pia,Boavista,2,0,H,0,0,D,6,11,4,4,2,2,11,13,1,3,0,0,2.45,3.1,3.0,15,6,H,3,0,2,2,D,0,0,10,30
P1,2022-08-21,18:00,Sp Braga,Maritimo,5,0,H,2,0,H,20,7,9,1,5,5,16,7,3,1,0,0,1.36,4.5,9.0,18,6,H,3,0,5,5,H,2,2,30,10
P1,2022-08-21,20:30,Portimonense,Guimaraes,2,1,H,0,0,D,15,17,5,6,6,11,18,15,4,2,0,0,2.62,3.3,2.55,20,6,H,3,0,1,3,D,0,0,40,20
P1,2022-08-22,20:15,Gil Vicente,Famalicao,0,0,D,0,0,D,15,10,5,2,8,4,12,13,1,5,0,0,2.2,3.5,3.2,20,0,D,1,1,0,0,D,0,0,10,50
P1,2022-08-26,20:15,Pacos Ferreira,Estoril,0,3,A,0,2,A,10,11,4,7,4,5,13,21,3,0,2,0,2.62,3.2,2.8,20,4,A,0,3,-3,3,A,-2,2,80,0
P1,2022-08-27,15:30,Maritimo,Portimonense,0,1,A,0,1,A,19,9,4,6,8,7,12,16,2,1,0,0,2.75,3.2,2.6,15,5,A,0,3,-1,1,A,-1,1,20,10
P1,2022-08-27,18:00,Boavista,Benfica,0,3,A,0,1,A,4,16,0,6,7,8,12,15,4,2,0,0,8.5,4.75,1.36,18,5,A,0,3,-3,3,A,-1,1,40,20
P1,2022-08-27,20:30,Sp Lisbon,Chaves,0,2,A,0,0,D,22,8,10,5,13,3,19,16,5,2,0,1,1.18,7.0,19.0,20,5,A,0,3,-2,2,D,0,0,50,45
P1,2022-08-28,15:30,Famalicao,Santa Clara,1,0,H,1,0,H,12,13,4,2,6,4,22,11,3,3,0,0,2.15,3.4,3.3,15,6,H,3,0,1,1,H,1,1,30,30
P1,2022-08-28,18:00,Arouca,Sp Braga,0,6,A,0,4,A,12,15,4,10,5,4,18,13,3,3,0,0,5.0,3.75,1.66,18,6,A,0,3,-6,6,A,-4,4,30,30
P1,2022-08-28,20:30,Rio Ave,Porto,3,1,H,3,0,H,6,27,4,10,2,7,11,8,1,2,0,0,10.0,5.5,1.3,20,6,H,3,0,2,4,H,3,3,10,20
P1,2022-08-29,19:00,Guimaraes,Casa Pia,0,1,A,0,1,A,15,8,2,2,9,1,15,16,3,3,0,0,1.95,3.4,4.0,19,0,A,0,3,-1,1,A,-1,1,30,30
P1,2022-08-29,21:15,Vizela,Gil Vicente,2,2,D,2,2,D,18,12,9,4,5,10,9,15,2,5,0,0,2.3,3.3,3.0,21,0,D,1,1,0,4,D,0,4,20,50
P1,2022-08-30,20:15,Benfica,Pacos Ferreira,3,2,H,2,1,H,27,3,6,2,13,3,13,13,2,4,0,0,1.06,11.0,29.0,20,1,H,3,0,1,5,H,1,3,20,40
P1,2022-09-02,19:00,Benfica,Vizela,2,1,H,0,1,A,28,7,6,2,15,4,9,10,7,4,2,0,1.2,7.0,15.0,19,4,H,3,0,1,3,A,-1,1,120,40
P1,2022-09-02,21:15,Estoril,Sp Lisbon,0,2,A,0,2,A,5,18,0,4,2,7,16,18,5,7,0,0,6.5,4.33,1.45,21,4,A,0,3,-2,2,A,-2,2,50,70
P1,2022-09-03,15:30,Sp Braga,Guimaraes,1,0,H,0,0,D,18,7,2,3,5,0,16,21,2,7,0,0,1.36,4.75,8.0,15,5,H,3,0,1,1,D,0,0,20,70
P1,2022-09-03,20:30,Gil Vicente,Porto,0,2,A,0,2,A,6,16,2,4,6,4,15,9,1,0,0,0,7.0,4.33,1.44,20,5,A,0,3,-2,2,A,-2,2,10,0
P1,2022-09-04,15:30,Casa Pia,Arouca,0,0,D,0,0,D,6,8,1,1,9,2,13,10,2,0,0,0,2.0,3.1,3.8,15,6,D,1,1,0,0,D,0,0,20,0
P1,2022-09-04,18:00,Santa Clara,Maritimo,2,1,H,0,1,A,9,17,4,5,2,3,22,16,3,4,0,1,2.0,3.2,3.6,18,6,H,3,0,1,3,A,-1,1,30,65
P1,2022-09-04,20:30,Portimonense,Famalicao,1,0,H,0,0,D,9,13,1,1,7,5,20,10,5,2,0,0,2.2,3.2,3.2,20,6,H,3,0,1,1,D,0,0,50,20
P1,2022-09-05,19:00,Boavista,Pacos Ferreira,1,0,H,0,0,D,12,7,3,1,5,1,16,18,4,3,0,0,2.0,3.3,3.8,19,0,H,3,0,1,1,D,0,0,40,30
P1,2022-09-05,21:15,Chaves,Rio Ave,1,1,D,1,0,H,21,13,6,3,8,11,14,13,5,3,0,0,2.5,3.0,2.87,21,0,D,1,1,0,2,H,1,1,50,30
P1,2022-09-09,20:15,Guimaraes,Santa Clara,1,0,H,0,0,D,9,9,3,4,6,5,11,17,4,5,0,0,1.95,3.4,4.0,20,4,H,3,0,1,1,D,0,0,40,50
P1,2022-09-10,15:30,Famalicao,Benfica,0,1,A,0,0,D,4,13,2,7,1,5,19,12,2,0,1,0,7.0,4.5,1.4,15,5,A,0,3,-1,1,D,0,0,45,0
P1,2022-09-10,18:00,Sp Lisbon,Portimonense,4,0,H,2,0,H,17,4,7,1,8,3,7,14,3,3,0,0,1.33,5.5,8.0,18,5,H,3,0,4,4,H,2,2,30,30
P1,2022-09-10,20:30,Porto,Chaves,3,0,H,1,0,H,19,8,7,1,9,3,13,11,1,3,0,0,1.14,7.0,19.0,20,5,H,3,0,3,3,H,1,1,10,30
P1,2022-09-11,15:30,Pacos Ferreira,Casa Pia,2,3,A,1,0,H,19,12,8,5,7,2,8,17,2,4,0,0,2.8,3.1,2.62,15,6,A,0,3,-1,5,H,1,1,20,40
P1,2022-09-11,18:00,Arouca,Boavista,1,2,A,1,1,D,6,10,1,4,2,5,11,15,2,2,2,0,2.7,3.1,2.75,18,6,A,0,3,-1,3,D,0,2,70,20
P1,2022-09-11,18:00,Maritimo,Gil Vicente,1,2,A,1,0,H,18,22,4,5,10,8,13,13,2,0,0,0,2.75,3.2,2.62,18,6,A,0,3,-1,3,H,1,1,20,0
P1,2022-09-11,20:30,Rio Ave,Sp Braga,2,3,A,0,2,A,17,24,5,11,7,8,12,10,1,1,0,0,5.75,4.0,1.57,20,6,A,0,3,-1,5,A,-2,2,10,10
P1,2022-09-12,20:15,Vizela,Estoril,0,1,A,0,1,A,22,10,7,2,16,2,11,12,4,4,1,0,2.2,3.3,3.25,20,0,A,0,3,-1,1,A,-1,1,65,40
P1,2022-09-16,20:15,Portimonense,Chaves,1,0,H,1,0,H,15,17,6,4,9,7,20,15,4,2,0,1,2.1,3.25,3.5,20,4,H,3,0,1,1,H,1,1,40,45
P1,2022-09-17,15:30,Gil Vicente,Rio Ave,2,2,D,0,1,A,18,8,7,5,7,4,14,16,4,6,1,1,1.95,3.3,3.8,15,5,D,1,1,0,4,A,-1,1,65,85
P1,2022-09-17,15:30,Santa Clara,Pacos Ferreira,1,1,D,1,0,H,8,7,2,4,5,8,18,16,4,3,0,0,2.0,3.3,3.75,15,5,D,1,1,0,2,H,1,1,40,30
P1,2022-09-17,18:00,Estoril,Porto,1,1,D,1,0,H,9,19,4,4,4,11,12,19,8,3,1,0,9.5,5.0,1.3,18,5,D,1,1,0,2,H,1,1,105,30
P1,2022-09-17,20:30,Boavista,Sp Lisbon,2,1,H,1,0,H,7,11,3,3,4,9,11,5,3,1,0,0,6.5,4.33,1.45,20,5,H,3,0,1,3,H,1,1,30,10
P1,2022-09-18,15:30,Arouca,Guimaraes,2,2,D,1,0,H,10,12,6,5,3,6,12,12,6,3,0,0,3.0,3.2,2.37,15,6,D,1,1,0,4,H,1,1,60,30
P1,2022-09-18,18:00,Benfica,Maritimo,5,0,H,1,0,H,23,4,12,1,7,2,16,5,1,3,0,0,1.11,9.0,21.0,18,6,H,3,0,5,5,H,1,1,10,30
P1,2022-09-18,18:00,Casa Pia,Famalicao,1,0,H,0,0,D,17,10,6,1,8,4,18,13,1,1,0,0,2.37,3.0,3.2,18,6,H,3,0,1,1,D,0,0,10,10
P1,2022-09-18,20:30,Sp Braga,Vizela,2,0,H,0,0,D,22,17,10,6,8,4,14,14,6,4,0,0,1.3,5.0,9.5,20,6,H,3,0,2,2,D,0,0,60,40
P1,2022-09-30,19:00,Sp Lisbon,Gil Vicente,3,1,H,2,0,H,16,11,7,4,3,2,9,6,4,1,0,0,1.3,5.0,9.5,19,4,H,3,0,2,4,H,2,2,40,10
P1,2022-09-30,21:15,Porto,Sp Braga,4,1,H,2,0,H,16,9,7,0,6,5,14,17,2,4,0,1,1.75,3.8,4.0,21,4,H,3,0,3,5,H,2,2,20,65
P1,2022-10-01,15:30,Vizela,Portimonense,1,0,H,1,0,H,15,18,6,7,5,9,10,12,3,3,0,0,2.15,3.3,3.25,15,5,H,3,0,1,1,H,1,1,30,30
P1,2022-10-01,18:00,Chaves,Estoril,1,1,D,1,0,H,12,14,3,3,4,8,12,15,3,3,0,0,2.25,3.1,3.2,18,5,D,1,1,0,2,H,1,1,30,30
P1,2022-10-01,20:30,Guimaraes,Benfica,0,0,D,0,0,D,6,6,1,1,5,6,17,22,4,1,0,0,7.5,5.0,1.36,20,5,D,1,1,0,0,D,0,0,40,10
P1,2022-10-02,15:30,Rio Ave,Santa Clara,1,0,H,1,0,H,6,6,3,1,1,8,11,11,2,3,0,1,2.45,3.2,2.8,15,6,H,3,0,1,1,H,1,1,20,55
P1,2022-10-02,18:00,Pacos Ferreira,Arouca,1,1,D,0,0,D,6,12,3,4,3,5,16,15,3,2,0,0,2.2,3.2,3.2,18,6,D,1,1,0,2,D,0,0,30,20
P1,2022-10-02,20:30,Famalicao,Boavista,4,0,H,2,0,H,8,10,4,1,1,5,17,17,1,3,0,0,2.2,3.2,3.3,20,6,H,3,0,4,4,H,2,2,10,30
P1,2022-10-03,20:15,Maritimo,Casa Pia,1,2,A,1,1,D,19,10,3,2,10,3,14,19,2,4,1,1,2.75,3.2,2.5,20,0,A,0,3,-1,3,D,0,2,45,65
P1,2022-10-07,20:15,Gil Vicente,Estoril,0,1,A,0,0,D,12,11,3,3,7,3,22,12,4,4,0,0,2.1,3.4,3.25,20,4,A,0,3,-1,1,D,0,0,40,40
P1,2022-10-08,15:30,Santa Clara,Sp Lisbon,1,2,A,0,1,A,9,11,6,3,3,5,11,15,4,3,0,0,5.75,4.0,1.5,15,5,A,0,3,-1,3,A,-1,1,40,30
P1,2022-10-08,18:00,Benfica,Rio Ave,4,2,H,3,1,H,32,8,10,3,8,3,3,10,1,2,0,0,1.16,7.0,13.0,18,5,H,3,0,2,6,H,2,4,10,20
P1,2022-10-08,18:00,Portimonense,Porto,0,2,A,0,1,A,12,18,3,7,1,5,12,7,4,2,0,0,7.0,4.75,1.4,18,5,A,0,3,-2,2,A,-1,1,40,20
P1,2022-10-08,20:30,Pacos Ferreira,Guimaraes,0,1,A,0,1,A,23,11,7,2,14,3,22,17,7,7,2,1,3.1,3.2,2.3,20,5,A,0,3,-1,1,A,-1,1,120,95
P1,2022-10-09,15:30,Boavista,Maritimo,1,1,D,1,0,H,20,14,5,3,8,8,20,17,2,5,0,0,1.9,3.4,4.2,15,6,D,1,1,0,2,H,1,1,20,50
P1,2022-10-09,18:00,Casa Pia,Vizela,0,1,A,0,0,D,12,8,5,5,8,1,12,15,3,1,0,0,2.37,3.1,3.0,18,6,A,0,3,-1,1,D,0,0,30,10
P1,2022-10-09,20:30,Sp Braga,Chaves,0,1,A,0,1,A,30,6,5,1,13,1,13,12,6,5,0,0,1.28,5.5,9.0,20,6,A,0,3,-1,1,A,-1,1,60,50
P1,2022-10-10,20:15,Arouca,Famalicao,4,1,H,1,1,D,14,11,7,5,3,5,17,15,0,4,0,0,2.62,3.25,2.55,20,0,H,3,0,3,5,D,0,2,0,40
P1,2022-10-21,20:15,Porto,Benfica,0,1,A,0,0,D,11,13,4,4,4,4,14,19,5,7,1,0,2.3,3.25,3.0,20,4,A,0,3,-1,1,D,0,0,75,70
P1,2022-10-22,15:30,Famalicao,Pacos Ferreira,2,1,H,1,1,D,10,12,2,1,3,8,10,14,2,3,0,0,1.66,3.5,4.75,15,5,H,3,0,1,3,D,0,2,20,30
P1,2022-10-22,18:00,Estoril,Sp Braga,0,2,A,0,2,A,4,14,2,7,5,7,16,12,3,1,0,0,4.5,3.75,1.66,18,5,A,0,3,-2,2,A,-2,2,30,10
P1,2022-10-22,20:30,Sp Lisbon,Casa Pia,3,1,H,0,1,A,25,10,10,3,7,3,16,15,2,5,0,0,1.28,5.0,9.0,20,5,H,3,0,2,4,A,-1,1,20,50
P1,2022-10-23,15:30,Maritimo,Arouca,1,1,D,1,1,D,16,16,4,5,5,5,13,13,1,3,0,0,2.55,3.1,2.7,15,6,D,1,1,0,2,D,0,2,10,30
P1,2022-10-23,15:30,Vizela,Santa Clara,0,1,A,0,0,D,18,12,3,2,5,2,14,23,3,5,1,0,1.9,3.3,3.8,15,6,A,0,3,-1,1,D,0,0,55,50
P1,2022-10-23,18:00,Chaves,Gil Vicente,3,1,H,0,1,A,18,10,9,3,5,1,7,12,1,2,0,1,2.5,3.4,2.6,18,6,H,3,0,2,4,A,-1,1,10,45
P1,2022-10-23,20:30,Guimaraes,Boavista,3,2,H,1,1,D,18,4,9,2,9,1,18,19,3,6,0,1,2.0,3.3,3.5,20,6,H,3,0,1,5,D,0,2,30,85
P1,2022-10-24,20:15,Rio Ave,Portimonense,1,0,H,1,0,H,11,12,4,3,3,2,13,15,3,1,0,1,2.45,3.3,2.7,20,0,H,3,0,1,1,H,1,1,30,35
P1,2022-10-28,20:15,Pacos Ferreira,Maritimo,0,1,A,0,1,A,10,16,4,7,6,10,26,12,2,4,0,0,2.25,3.2,3.3,20,4,A,0,3,-1,1,A,-1,1,20,40
P1,2022-10-29,15:30,Santa Clara,Porto,1,1,D,0,1,A,9,15,5,4,5,6,13,13,4,1,0,0,7.5,4.5,1.4,15,5,D,1,1,0,2,A,-1,1,40,10
P1,2022-10-29,18:00,Benfica,Chaves,5,0,H,3,0,H,18,7,9,2,13,2,16,12,2,2,0,0,1.18,7.0,13.0,18,5,H,3,0,5,5,H,3,3,20,20
P1,2022-10-29,20:30,Arouca,Sp Lisbon,1,0,H,0,0,D,10,21,5,7,4,11,12,6,5,3,0,0,7.0,4.2,1.45,20,5,H,3,0,1,1,D,0,0,50,30
P1,2022-10-30,15:30,Boavista,Vizela,2,2,D,1,2,A,12,7,4,5,6,1,8,20,3,7,0,1,2.4,3.25,2.87,15,6,D,1,1,0,4,A,-1,3,30,95
P1,2022-10-30,15:30,Portimonense,Estoril,1,1,D,0,1,A,23,10,7,5,11,7,22,15,5,7,0,1,2.37,3.3,3.0,15,6,D,1,1,0,2,A,-1,1,50,95
