,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,season_file,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_bookings_pts,away_bookings_pts,time
0,P1,2010-08-13,Sp Braga,Portimonense,3.0,1.0,H,2.0,0.0,H,1.36,4.5,9.0,,4.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
1,P1,2010-08-14,Maritimo,Setubal,0.0,1.0,A,0.0,0.0,D,1.7,3.5,5.25,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
2,P1,2010-08-14,Naval,Porto,0.0,1.0,A,0.0,0.0,D,9.0,4.5,1.36,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
3,P1,2010-08-14,Pacos Ferreira,Sp Lisbon,1.0,0.0,H,0.0,0.0,D,4.75,3.4,1.8,,5.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
4,P1,2010-08-15,Beira Mar,Leiria,0.0,0.0,D,0.0,0.0,D,2.5,3.0,3.0,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
5,P1,2010-08-15,Benfica,Academica,1.0,2.0,A,0.0,1.0,A,1.18,6.5,17.0,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
6,P1,2010-08-15,Rio Ave,Nacional,0.0,1.0,A,0.0,0.0,D,2.63,3.0,2.88,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
7,P1,2010-08-16,Olhanense,Guimaraes,0.0,0.0,D,0.0,0.0,D,3.0,3.0,2.5,,0.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
8,P1,2010-08-20,Academica,Olhanense,1.0,1.0,D,0.0,0.0,D,1.95,3.3,4.0,,4.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
9,P1,2010-08-21,Nacional,Benfica,2.0,1.0,H,0.0,0.0,D,6.0,3.5,1.62,,5.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
10,P1,2010-08-21,Setubal,Sp Braga,0.0,0.0,D,0.0,0.0,D,5.25,3.4,1.7,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
14,P1,2010-08-22,Sp Lisbon,Maritimo,1.0,0.0,H,0.0,0.0,D,1.55,3.7,6.5,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
13,P1,2010-08-22,Porto,Beira Mar,3.0,0.0,H,2.0,0.0,H,1.18,6.5,13.0,,6.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
11,P1,2010-08-22,Leiria,Pacos Ferreira,0.0,0.0,D,0.0,0.0,D,2.2,3.1,3.4,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
12,P1,2010-08-22,Portimonense,Naval,0.0,1.0,A,0.0,1.0,A,2.4,3.2,2.9,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
15,P1,2010-08-23,Guimaraes,Rio Ave,0.0,0.0,D,0.0,0.0,D,1.67,3.4,5.75,,0.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
16,P1,2010-08-28,Benfica,Setubal,3.0,0.0,H,2.0,0.0,H,1.22,5.5,15.0,,5.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
17,P1,2010-08-28,Nacional,Guimaraes,1.0,3.0,A,0.0,0.0,D,2.2,3.1,3.5,,5.0,A,0.0,3.0,-2.0,4.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
21,P1,2010-08-29,Rio Ave,Porto,0.0,2.0,A,0.0,1.0,A,8.5,4.33,1.4,,6.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
18,P1,2010-08-29,Beira Mar,Academica,2.0,1.0,H,1.0,0.0,H,2.88,3.0,2.63,,6.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
19,P1,2010-08-29,Olhanense,Leiria,1.0,0.0,H,1.0,0.0,H,2.4,3.1,3.1,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
20,P1,2010-08-29,Pacos Ferreira,Portimonense,2.0,2.0,D,0.0,1.0,A,1.83,3.4,4.5,,6.0,D,1.0,1.0,0.0,4.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
22,P1,2010-08-29,Sp Braga,Maritimo,1.0,0.0,H,1.0,0.0,H,1.57,3.8,6.0,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
23,P1,2010-08-30,Naval,Sp Lisbon,1.0,3.0,A,0.0,1.0,A,5.0,3.4,1.75,,0.0,A,0.0,3.0,-2.0,4.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
24,P1,2010-09-10,Guimaraes,Benfica,2.0,1.0,H,1.0,1.0,D,5.5,3.5,1.67,,4.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
25,P1,2010-09-11,Porto,Sp Braga,3.0,2.0,H,1.0,1.0,D,1.57,3.8,6.0,,5.0,H,3.0,0.0,1.0,5.0,D,0.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
26,P1,2010-09-11,Sp Lisbon,Olhanense,0.0,0.0,D,0.0,0.0,D,1.3,5.0,11.0,,5.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
27,P1,2010-09-12,Academica,Naval,3.0,0.0,H,1.0,0.0,H,2.0,3.2,4.0,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
28,P1,2010-09-12,Leiria,Nacional,2.0,1.0,H,0.0,0.0,D,2.8,3.0,2.7,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
29,P1,2010-09-12,Maritimo,Pacos Ferreira,1.0,1.0,D,0.0,1.0,A,2.05,3.25,3.75,,6.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
30,P1,2010-09-12,Portimonense,Rio Ave,3.0,1.0,H,2.0,0.0,H,2.63,3.0,2.8,,6.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
31,P1,2010-09-13,Setubal,Beira Mar,0.0,0.0,D,0.0,0.0,D,2.2,3.1,3.5,,0.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
32,P1,2010-09-17,Olhanense,Portimonense,2.0,0.0,H,1.0,0.0,H,2.1,3.1,3.75,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
33,P1,2010-09-18,Beira Mar,Maritimo,1.0,1.0,D,0.0,1.0,A,2.5,3.0,2.75,,5.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
34,P1,2010-09-18,Guimaraes,Leiria,1.0,0.0,H,0.0,0.0,D,1.65,3.4,5.0,,5.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
38,P1,2010-09-19,Rio Ave,Academica,2.0,2.0,D,1.0,0.0,H,2.4,3.0,2.9,,6.0,D,1.0,1.0,0.0,4.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
37,P1,2010-09-19,Pacos Ferreira,Sp Braga,2.0,2.0,D,0.0,1.0,A,4.33,3.25,1.8,,6.0,D,1.0,1.0,0.0,4.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
35,P1,2010-09-19,Benfica,Sp Lisbon,2.0,0.0,H,1.0,0.0,H,1.8,3.25,4.33,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
36,P1,2010-09-19,Naval,Setubal,0.0,0.0,D,0.0,0.0,D,2.2,3.0,3.25,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
39,P1,2010-09-20,Nacional,Porto,0.0,2.0,A,0.0,1.0,A,6.0,3.7,1.53,,0.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
40,P1,2010-09-24,Sp Braga,Naval,3.0,1.0,H,1.0,0.0,H,1.44,4.2,7.5,,4.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
41,P1,2010-09-25,Academica,Guimaraes,3.0,1.0,H,0.0,0.0,D,2.5,3.0,3.0,,5.0,H,3.0,0.0,2.0,4.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
42,P1,2010-09-25,Maritimo,Benfica,0.0,1.0,A,0.0,0.0,D,5.0,3.5,1.73,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
43,P1,2010-09-25,Porto,Olhanense,2.0,0.0,H,2.0,0.0,H,1.17,6.5,17.0,,5.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
45,P1,2010-09-26,Portimonense,Beira Mar,1.0,0.0,H,0.0,0.0,D,2.4,3.0,3.2,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
44,P1,2010-09-26,Leiria,Rio Ave,1.0,0.0,H,0.0,0.0,D,2.1,3.2,3.6,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
46,P1,2010-09-26,Sp Lisbon,Nacional,1.0,1.0,D,0.0,0.0,D,1.53,3.8,6.5,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
47,P1,2010-09-27,Setubal,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,2.5,3.1,2.9,,0.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
