,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
0,P1,2019-08-09,20:30,Portimonense,Belenenses,0,0,D,0,0,D,16,8,5,2,5,5,19,15,1,1,0,0,20,4,D,1,1,0,0,D,0,0,10,10,cleanP1_1920
1,P1,2019-08-10,16:30,Santa Clara,Famalicao,0,2,A,0,1,A,22,14,6,6,14,6,14,22,0,3,0,0,16,5,A,0,3,-2,2,A,-1,1,0,30,cleanP1_1920
2,P1,2019-08-10,19:00,Gil Vicente,Porto,2,1,H,0,0,D,13,16,7,5,4,6,15,19,3,3,0,0,19,5,H,3,0,1,3,D,0,0,30,30,cleanP1_1920
3,P1,2019-08-10,21:30,Benfica,Pacos Ferreira,5,0,H,2,0,H,15,7,7,0,10,3,15,11,0,4,0,1,21,5,H,3,0,5,5,H,2,2,0,65,cleanP1_1920
4,P1,2019-08-11,16:00,Boavista,Aves,2,1,H,1,1,D,8,17,3,2,3,8,24,20,5,3,0,0,16,6,H,3,0,1,3,D,0,2,50,30,cleanP1_1920
5,P1,2019-08-11,18:30,Maritimo,Sp Lisbon,1,1,D,1,1,D,10,17,3,2,2,8,14,14,4,4,0,0,18,6,D,1,1,0,2,D,0,2,40,40,cleanP1_1920
6,P1,2019-08-11,21:00,Sp Braga,Moreirense,3,1,H,1,0,H,19,11,9,4,7,4,14,11,2,2,0,0,21,6,H,3,0,2,4,H,1,1,20,20,cleanP1_1920
7,P1,2019-08-12,20:15,Setubal,Tondela,0,0,D,0,0,D,7,7,4,2,3,3,23,18,7,2,1,0,20,0,D,1,1,0,0,D,0,0,95,20,cleanP1_1920
8,P1,2019-08-16,20:30,Famalicao,Rio Ave,1,0,H,0,0,D,16,13,4,1,5,2,16,16,3,5,0,1,20,4,H,3,0,1,1,D,0,0,30,75,cleanP1_1920
9,P1,2019-08-17,16:30,Moreirense,Gil Vicente,3,0,H,2,0,H,12,16,4,2,3,5,17,16,0,3,0,0,16,5,H,3,0,3,3,H,2,2,0,30,cleanP1_1920
10,P1,2019-08-17,19:00,Belenenses,Benfica,0,2,A,0,0,D,7,21,1,5,5,4,11,10,7,1,0,0,19,5,A,0,3,-2,2,D,0,0,70,10,cleanP1_1920
11,P1,2019-08-17,21:30,Porto,Setubal,4,0,H,2,0,H,23,6,10,5,7,0,16,16,0,2,0,0,21,5,H,3,0,4,4,H,2,2,0,20,cleanP1_1920
15,P1,2019-08-18,21:00,Sp Lisbon,Sp Braga,2,1,H,2,0,H,11,21,6,7,2,7,13,16,3,5,0,0,21,6,H,3,0,1,3,H,2,2,30,50,cleanP1_1920
14,P1,2019-08-18,18:30,Guimaraes,Boavista,1,1,D,1,0,H,16,5,4,2,4,2,14,13,3,3,0,0,18,6,D,1,1,0,2,H,1,1,30,30,cleanP1_1920
12,P1,2019-08-18,16:00,Aves,Maritimo,3,1,H,2,1,H,11,10,4,1,4,6,25,14,2,4,0,0,16,6,H,3,0,2,4,H,1,3,20,40,cleanP1_1920
13,P1,2019-08-18,16:00,Pacos Ferreira,Santa Clara,0,1,A,0,1,A,19,6,3,3,8,3,24,20,3,1,0,0,16,6,A,0,3,-1,1,A,-1,1,30,10,cleanP1_1920
16,P1,2019-08-19,20:15,Tondela,Portimonense,1,2,A,0,2,A,8,14,3,6,6,3,11,16,1,1,0,0,20,0,A,0,3,-1,3,A,-2,2,10,10,cleanP1_1920
17,P1,2019-08-23,19:00,Setubal,Moreirense,0,0,D,0,0,D,18,5,1,2,9,5,18,27,3,1,0,0,19,4,D,1,1,0,0,D,0,0,30,10,cleanP1_1920
18,P1,2019-08-23,21:15,Rio Ave,Aves,5,1,H,2,0,H,17,7,9,1,3,6,17,15,0,3,0,0,21,4,H,3,0,4,6,H,2,2,0,30,cleanP1_1920
19,P1,2019-08-24,19:00,Benfica,Porto,0,2,A,0,1,A,6,11,1,5,5,4,15,12,2,5,0,0,19,5,A,0,3,-2,2,A,-1,1,20,50,cleanP1_1920
20,P1,2019-08-24,21:30,Boavista,Pacos Ferreira,1,1,D,1,1,D,15,14,2,5,6,8,17,17,5,2,0,0,21,5,D,1,1,0,2,D,0,2,50,20,cleanP1_1920
24,P1,2019-08-25,20:30,Gil Vicente,Sp Braga,1,1,D,0,1,A,15,8,6,4,5,1,13,13,2,2,0,0,20,6,D,1,1,0,2,A,-1,1,20,20,cleanP1_1920
21,P1,2019-08-25,16:00,Maritimo,Tondela,2,3,A,0,1,A,15,10,5,7,4,6,11,13,2,5,0,0,16,6,A,0,3,-1,5,A,-1,1,20,50,cleanP1_1920
22,P1,2019-08-25,16:00,Santa Clara,Belenenses,0,0,D,0,0,D,15,6,3,1,9,2,10,12,2,1,0,0,16,6,D,1,1,0,0,D,0,0,20,10,cleanP1_1920
